시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,72.9932,202205,14,"40,000",155,10,2017,만리재로 175,202208~202407,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,89.8989,202205,15,"97,000",0,6,2017,만리재로 175,202206~202406,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.9965,202205,19,"75,600",0,24,2017,만리재로 175,202206~202406,갱신,사용,"72,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202205,19,"81,000",0,5,2017,만리재로 175,-,갱신,-,"77,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202205,22,"5,000",270,9,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202205,22,"5,000",270,9,2017,만리재로 175,-,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.9965,202205,22,"85,000",0,10,2017,만리재로 175,202207~202407,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9808,202205,25,"61,740",0,13,2017,만리재로 175,202209~202409,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202205,25,"20,000",250,20,2017,만리재로 175,202207~202407,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202205,27,"99,000",0,2,2017,만리재로 175,202209~202409,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9707,202205,28,"80,000",0,6,2017,만리재로 175,202208~202408,신규,-,0,0
