단지명,전용면적,계약년도,계약일,위도,경도,지하철거리,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,일일가격,층_-1,층_1,층_2,층_3,층_4,층_5,층_6,층_7,층_8,층_9,층_10,층_11,층_12,층_13,층_14,층_15,층_16,층_17,층_18,층_19,층_20,층_21,층_22,층_23,층_24,층_25,층_26,층_27,층_28,층_29,층_30,층_31,층_32,층_33,층_34,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
남산트라팰리스,126.78,2022-11-01,18,37.5539946799726,126.975612746457,300.40511873242406,2022/11/18,1338.4,8,5,9,0,115,37,95,8,83.49973589710727,후암삼거리,96.18055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
롯데캐슬,59.94,2022-05-01,24,37.57081054646992,127.021463886656,533.615752338311,2022/05/24,1267.7,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,20.097222222222218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
서울역한라비발디센트럴,84.9774,2022-03-01,28,37.55457358286571,126.965847056196,376.5303456813306,2022/03/28,1218.3,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
약수하이츠,32.67,2022-10-01,12,37.5551915990934,127.016359379417,358.1312622656157,2022/10/12,1433.5,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,1.8829166666666666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
남산타운,59.94,2022-05-01,10,37.5471667734011,127.005677166122,153.7732236879109,2022/05/10,1274.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,23.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운,114.88,2022-09-01,16,37.5471667734011,127.005677166122,153.7732236879109,2022/09/16,1394.2,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,45.69444444444445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
약수하이츠,84.87999999999998,2022-02-01,17,37.5551915990934,127.016359379417,358.1312622656157,2022/02/17,1196.9,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,10.715277777777777,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
삼성,114.91,2022-03-01,16,37.558535883830494,127.01844745293,472.8633597877952,2022/03/16,1241.7,2,0,1,0,55,17,24,29,25.03257628178961,신당동삼성아파트.금호여중,14.513888888888891,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
약수하이츠,57.63,2022-03-01,19,37.5551915990934,127.016359379417,358.1312622656157,2022/03/19,1220.6,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,12.638888888888888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DUO302,15.97,2022-05-01,10,37.5665748058672,127.023261376536,338.52745922576685,2022/05/10,1274.6,8,1,0,1,23,7,4,23,33.55971284644064,황학동주민센터,11.076388888888888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
