단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장
래미안하이베르,59.95,202201,19,50000.0,50,13,37.5610379790132,127.020985832433,신당역,524.9534945478343,88,2022/01/19,1188.9,7,0,1,0,44,15,23,27,264.0077328980435,동화동
(73-1),18.35,202201,20,1000.0,50,9,37.569801530162714,127.019329304009,신당역,462.5655163555446,106,2022/01/20,1191.8,4,1,1,4,27,7,5,23,104.2561319628623,청계8가.영도교
충무로헤센스마트,21.04,202201,20,1000.0,90,6,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/20,1191.8,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가
(73-1),19.15,202201,20,1000.0,55,6,37.569801530162714,127.019329304009,신당역,462.5655163555446,106,2022/01/20,1191.8,4,1,1,4,27,7,5,23,104.2561319628623,청계8가.영도교
서제빌딩,24.2,202201,20,1000.0,65,5,37.5643899218959,127.001330851403,동대문역사문화공원역,356.66310340976054,272,2022/01/20,1191.8,25,4,8,3,91,35,49,30,133.71080905767624,베이튼호텔
남산타운,84.87999999999998,202201,20,20000.0,140,10,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/20,1191.8,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
청구e편한세상,84.95,202201,21,65000.0,27,4,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/21,1190.4,4,1,1,0,63,20,29,31,70.23484133934264,청구역
청구e편한세상,118.47,202201,21,10000.0,300,11,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/21,1190.4,4,1,1,0,63,20,29,31,70.23484133934264,청구역
약수하이츠,114.92,202201,21,60000.0,100,1,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/21,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
남산트라팰리스,116.11,202201,21,1000.0,347,26,37.5539946799726,126.975612746457,서울역,300.40511873242406,54,2022/01/21,1190.4,8,5,9,0,115,37,95,8,83.49973589710727,후암삼거리
삼정아트테라스정동,13.8874,202201,21,7000.0,50,7,37.5632510909133,126.972031493823,시청역,300.9137610337463,514,2022/01/21,1190.4,33,13,37,1,143,42,101,11,230.68420809566103,서소문KAL빌딩
약수하이츠,84.87999999999998,202201,22,10000.0,145,4,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/22,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
약수하이츠,57.63,202201,22,10000.0,105,8,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/22,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
서울역한라비발디센트럴,71.9832,202201,22,5000.0,200,12,37.55457358286571,126.965847056196,서울역,376.5303456813306,89,2022/01/22,1190.4,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구
남산타운,59.94,202201,22,30000.0,80,2,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/22,1190.4,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
남산타운,84.87999999999998,202201,22,50000.0,100,10,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/22,1190.4,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
파크원빌,13.51,202201,22,1000.0,60,7,37.560367072421,127.004543530031,동대입구역,173.3487208435671,123,2022/01/22,1190.4,16,6,13,5,87,29,50,29,101.49308138878293,장충동.동국대입구
더플레이스충정로,15.12,202201,22,1000.0,64,2,37.558980785321,126.966068233101,충정로(경기대입구)역,169.5458754048524,129,2022/01/22,1190.4,10,4,16,0,90,31,86,5,152.21828755716365,종근당.충정로역
서울역센트럴자이,59.943,202201,24,40000.0,150,13,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/24,1193.6,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
리마크빌동대문,24.96,202201,24,1000.0,90,11,37.565794853643695,127.016623843671,신당역,58.061356897640906,140,2022/01/24,1193.6,10,5,0,10,43,14,17,31,187.3336720760136,신당역.중앙시장앞
신당아르브,18.08,202201,24,3000.0,55,5,37.5649742650674,127.023319283742,신당역,335.5910715414943,76,2022/01/24,1193.6,8,0,1,1,24,8,4,23,71.16580967699376,신당초등학교앞
서울역센트럴자이,59.943,202201,24,40000.0,150,13,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/24,1193.6,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
대우디오빌,73.86,202201,24,10000.0,140,10,37.5550198699539,126.967199040035,서울역,300.47515523891445,91,2022/01/24,1193.6,2,2,10,0,69,27,69,4,106.44698287229602,손기정체육공원입구
약수하이츠,84.87999999999998,202201,25,5000.0,180,11,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/25,1194.2,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
청구e편한세상,84.95999999999998,202201,25,40000.0,120,5,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/25,1194.2,4,1,1,0,63,20,29,31,70.23484133934264,청구역
브라운스톤(355-0),84.878,202201,25,5000.0,280,22,37.560818788728895,126.968225883547,충정로(경기대입구)역,361.7916452355358,217,2022/01/25,1194.2,14,4,17,0,120,35,90,8,23.8510160033185,한국경제신문사.서소문역사공원
약수하이츠,84.87999999999998,202201,25,20000.0,128,6,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/25,1194.2,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
서울역한라비발디센트럴,71.9832,202201,25,30000.0,165,2,37.55457358286571,126.965847056196,서울역,376.5303456813306,89,2022/01/25,1194.2,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구
파크원빌,13.12,202201,26,1000.0,60,3,37.560367072421,127.004543530031,동대입구역,173.3487208435671,123,2022/01/26,1197.8,16,6,13,5,87,29,50,29,101.49308138878293,장충동.동국대입구
롯데캐슬,59.94,202201,26,3000.0,154,31,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/26,1197.8,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬
남산타운(임대),32.76,202201,26,2955.0,6,17,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/26,1197.8,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
