상세영업상태명	도로명주소	사업장명	업태구분명	좌표정보(X)	좌표정보(Y)	위도	경도
영업	서울특별시 중구 퇴계로 130 프린스호텔 1층 (남산동2가)	도화아파트먼트 명동점	커피숍	198717.8245	450932.9648	37.56067293	126.9833862
영업	서울특별시 중구 다산로 75 3층 301호 (신당동)	(주)카키브라운 카페구름점	커피숍	200602.5611	449890.1898	37.55127845	127.004717
영업	서울특별시 중구 남대문로 2 1층 5호 (남대문로4가)	홍 찹쌀 꽈배기	기타 휴게음식점	197831.503	450867.2781	37.56007937	126.973355
영업	서울특별시 중구 만리재로33길 21 상가동 1층 105-2호 (만리동1가 LIG 서울역 리가)	a year	커피숍	197010.4269	450402.8024	37.55589214	126.964064
영업	서울특별시 중구 다산로44길 76 (신당동)	너랑나랑 카페	커피숍	201798.0579	451416.0978	37.56502525	127.0182496
영업	서울특별시 중구 을지로14길 19-5 4층 402호 (을지로3가)	코스모스	커피숍	199259.0328	451458.9911	37.565413	126.9895111
영업	서울특별시 중구 만리재로 183 1층 (만리동2가)	베러먼데이커피 서울역센트럴점	커피숍	196957.5915	450256.9638	37.55457797	126.9634667
영업	서울특별시 중구 소공로 63 신세계백화점 지하1층 (충무로1가)	청년장인	기타 휴게음식점	198263.9084	450960.763	37.56092261	126.9782487
영업	서울특별시 중구 을지로 281 DDP (을지로7가)	꺼야꺼야	푸드트럭	201010.2625	451995.1631	37.57024371	127.0093335
영업	서울특별시 중구 장충단로 247 4층 (을지로6가)	탐앤탐스 굿모닝시티점	커피숍	200573.6413	451621.0365	37.56687322	127.0043909
영업	서울특별시 중구 한강대로 405 롯데마트 서울역점 2층 (봉래동2가)	송가식탁	일반조리판매	197230.2061	450446.6844	37.55628822	126.9665512
영업	서울특별시 중구 한강대로 405 롯데마트 서울역점 2층 (봉래동2가)	ROVLU	커피숍	197230.2061	450446.6844	37.55628822	126.9665512
영업	서울특별시 중구 다산로 182-1 1층 (신당동)	홍루이젠 청구역점	커피숍	201138.2325	450819.2815	37.55964901	127.0107803
